timestamp,qubit,readout_error
2026-06-07T05:14:17.182912+00:00,35,0.0107421875
2026-06-07T05:14:17.182912+00:00,36,0.0140380859375
2026-06-07T05:14:17.182912+00:00,37,0.0496826171875
2026-06-07T05:14:17.182912+00:00,38,0.0494384765625
2026-06-07T05:14:17.182912+00:00,39,0.0250244140625
2026-06-07T05:14:17.182912+00:00,40,0.019287109375
2026-06-07T05:14:17.182912+00:00,41,0.0098876953125
2026-06-07T05:14:17.182912+00:00,42,0.006591796875
2026-06-07T05:14:17.182912+00:00,43,0.011962890625
2026-06-07T05:14:17.182912+00:00,44,0.005859375
2026-06-07T05:14:17.182912+00:00,45,0.0203857421875
2026-06-07T05:14:17.182912+00:00,46,0.010986328125
2026-06-07T05:14:17.182912+00:00,47,0.0098876953125
2026-06-07T05:14:17.182912+00:00,48,0.046875
2026-06-07T05:14:17.182912+00:00,49,0.01171875
2026-06-07T05:14:17.182912+00:00,50,0.009765625
2026-06-07T05:14:17.182912+00:00,51,0.0731201171875
2026-06-07T05:14:17.182912+00:00,52,0.0274658203125
2026-06-07T05:14:17.182912+00:00,53,0.0108642578125
2026-06-07T05:14:17.182912+00:00,54,0.006103515625
2026-06-07T05:14:17.182912+00:00,55,0.0201416015625
2026-06-07T05:14:17.182912+00:00,56,0.0062255859375
2026-06-07T05:14:17.182912+00:00,57,0.0255126953125
2026-06-07T05:14:17.182912+00:00,58,0.0233154296875
2026-06-07T05:14:17.182912+00:00,59,0.013916015625
2026-06-07T05:14:17.182912+00:00,60,0.00634765625
2026-06-07T05:14:17.182912+00:00,61,0.0108642578125
2026-06-07T05:14:17.182912+00:00,62,0.011474609375
2026-06-07T05:14:17.182912+00:00,63,0.0205078125
2026-06-07T05:14:17.182912+00:00,64,0.007568359375
2026-06-07T05:14:17.182912+00:00,65,0.02685546875
2026-06-07T05:14:17.182912+00:00,66,0.008056640625
2026-06-07T05:14:17.182912+00:00,67,0.0743408203125
2026-06-07T05:14:17.182912+00:00,68,0.033935546875
2026-06-07T05:14:17.182912+00:00,69,0.0260009765625
2026-06-07T05:14:17.182912+00:00,70,0.01123046875
2026-06-07T05:14:17.182912+00:00,71,0.005615234375
2026-06-07T05:14:17.182912+00:00,72,0.016357421875
2026-06-07T05:14:17.182912+00:00,73,0.01416015625
2026-06-07T05:14:17.182912+00:00,74,0.015380859375
2026-06-07T05:14:17.182912+00:00,75,0.0072021484375
2026-06-07T05:14:17.182912+00:00,76,0.021240234375
2026-06-07T05:14:17.182912+00:00,77,0.0191650390625
2026-06-07T05:14:17.182912+00:00,78,0.006591796875
2026-06-07T05:14:17.182912+00:00,79,0.10400390625
2026-06-07T05:14:17.182912+00:00,80,0.009033203125
2026-06-07T05:14:17.182912+00:00,81,0.0203857421875
2026-06-07T05:14:17.182912+00:00,82,0.5057373046875
2026-06-07T05:14:17.182912+00:00,83,0.1376953125
2026-06-07T05:14:17.182912+00:00,84,0.0152587890625
2026-06-07T05:14:17.182912+00:00,85,0.0118408203125
2026-06-07T05:14:17.182912+00:00,86,0.0081787109375
2026-06-07T05:14:17.182912+00:00,87,0.007080078125
2026-06-07T05:14:17.182912+00:00,88,0.02001953125
2026-06-07T05:14:17.182912+00:00,89,0.0401611328125
2026-06-07T05:14:17.182912+00:00,90,0.030517578125
