qubit,t1_us,t2_us,frequency_ghz
2026-06-07T05:14:13.824043+00:00,81,178.85886542898047,179.38039873073893,
2026-06-07T05:14:13.824043+00:00,82,5.4550183924917315,6.440762177221647,
2026-06-07T05:14:13.824043+00:00,83,163.78410235209336,225.5880866934259,
2026-06-07T05:14:13.824043+00:00,84,150.78055235991374,149.16101066158015,
2026-06-07T05:14:13.824043+00:00,85,134.3504097469546,102.04561976920523,
2026-06-07T05:14:13.824043+00:00,86,335.78892590645506,58.34941349293328,
2026-06-07T05:14:13.824043+00:00,87,156.33106791949012,156.36343311654912,
2026-06-07T05:14:13.824043+00:00,88,210.0508349875521,141.56826317445538,
2026-06-07T05:14:13.824043+00:00,89,257.9790217797262,267.22307896978555,
2026-06-07T05:14:13.824043+00:00,90,46.91118932452782,62.42603736815176,
2026-06-07T05:14:13.824043+00:00,91,151.5406942470493,251.47099782746227,
2026-06-07T05:14:13.824043+00:00,92,241.50286457249115,198.87868627668357,
2026-06-07T05:14:13.824043+00:00,93,204.40132802634625,151.83008897929923,
2026-06-07T05:14:13.824043+00:00,94,267.94040535981424,190.12033763445473,
2026-06-07T05:14:13.824043+00:00,95,407.0191458821498,483.25990698598,
2026-06-07T05:14:13.824043+00:00,96,107.1892352840593,52.59522784802846,
2026-06-07T05:14:13.824043+00:00,97,262.74715711735183,29.078095155699664,
2026-06-07T05:14:13.824043+00:00,98,261.4846803789144,71.30262071039458,
2026-06-07T05:14:13.824043+00:00,99,170.4620474661002,42.73979421734927,
2026-06-07T05:14:13.824043+00:00,100,110.95707625200735,83.26973381219464,
2026-06-07T05:14:13.824043+00:00,101,205.1863977447804,97.05971166916561,
2026-06-07T05:14:13.824043+00:00,102,108.49883462801903,96.43086069625963,
2026-06-07T05:14:13.824043+00:00,103,93.5602181017182,61.76301084997134,
2026-06-07T05:14:13.824043+00:00,104,268.49912718581425,166.24051527926332,
2026-06-07T05:14:13.824043+00:00,105,137.89559731490226,87.33445218882939,
2026-06-07T05:14:13.824043+00:00,106,29.34872251164794,41.147144352792054,
2026-06-07T05:14:13.824043+00:00,107,232.5785899147615,301.43735669009186,
2026-06-07T05:14:13.824043+00:00,108,55.79370603857611,60.25359073078614,
2026-06-07T05:14:13.824043+00:00,109,237.2552754466982,115.28157869675219,
2026-06-07T05:14:13.824043+00:00,110,202.59250773968807,156.7156834480484,
2026-06-07T05:14:13.824043+00:00,111,199.11660582107618,135.94191561406817,
2026-06-07T05:14:13.824043+00:00,112,163.7518067538771,112.69230258420369,
2026-06-07T05:14:13.824043+00:00,113,127.84039153205715,89.48945599617846,
2026-06-07T05:14:13.824043+00:00,114,297.6533102534365,216.0685619873737,
2026-06-07T05:14:13.824043+00:00,115,198.2450627219412,67.91674870728355,
2026-06-07T05:14:13.824043+00:00,116,79.93707526337253,47.41674787620726,
2026-06-07T05:14:13.824043+00:00,117,198.4309048935851,21.438600814254062,
2026-06-07T05:14:13.824043+00:00,118,201.48792914337932,33.45271546272407,
2026-06-07T05:14:13.824043+00:00,119,181.5508653595751,75.6274732378708,
2026-06-07T05:14:13.824043+00:00,120,171.50483729254532,66.98147098948685,
2026-06-07T05:14:13.824043+00:00,121,180.56589070713886,200.5363444180707,
2026-06-07T05:14:13.824043+00:00,122,214.40711692723454,25.660325657019534,
2026-06-07T05:14:13.824043+00:00,123,107.01913070579813,70.86344326198933,
2026-06-07T05:14:13.824043+00:00,124,155.43672833304456,114.06900310852738,
2026-06-07T05:14:13.824043+00:00,125,189.45584750236657,59.94287950447257,
2026-06-07T05:14:13.824043+00:00,126,162.8883088376774,26.103320155194993,
2026-06-07T05:14:13.824043+00:00,127,130.85355835408612,16.98087307014905,
2026-06-07T05:14:13.824043+00:00,128,272.296735072108,266.3130112740349,
2026-06-07T05:14:13.824043+00:00,129,229.18718309542453,19.532997797565326,
2026-06-07T05:14:13.824043+00:00,130,322.9729925580698,16.288825214895343,
2026-06-07T05:14:13.824043+00:00,131,194.9736956043837,132.55410888703588,
2026-06-07T05:14:13.824043+00:00,132,410.51822406295923,113.4890074396076,
2026-06-07T05:14:13.824043+00:00,133,255.86032384365356,204.86865537631206,
2026-06-07T05:14:13.824043+00:00,134,394.10392014304114,180.24519731295118,
2026-06-07T05:14:13.824043+00:00,135,245.86442462940806,92.69889062834214,
2026-06-07T05:14:13.824043+00:00,136,266.76851199138315,20.268753222445657,
2026-06-07T05:14:13.824043+00:00,137,113.49860736041497,65.44865754418501,
2026-06-07T05:14:13.824043+00:00,138,295.6588430981931,165.74467205412884,
2026-06-07T05:14:13.824043+00:00,139,74.53608328672522,91.97292013955231,
2026-06-07T05:14:13.824043+00:00,140,197.41085855852154,55.44033090215784,
2026-06-07T05:14:13.824043+00:00,141,265.00176624944254,223.01895857572276,
2026-06-07T05:14:13.824043+00:00,142,158.09363775373888,122.67276408309307,
2026-06-07T05:14:13.824043+00:00,143,127.5729006964565,52.05371503678879,
2026-06-07T05:14:13.824043+00:00,144,96.41905632402478,29.42785614779983,
2026-06-07T05:14:13.824043+00:00,145,165.04030268959016,140.3705529632719,
2026-06-07T05:14:13.824043+00:00,146,172.1164212715377,62.67236935026306,
2026-06-07T05:14:13.824043+00:00,147,199.98564692519125,84.03205413219807,
2026-06-07T05:14:13.824043+00:00,148,280.35237483720255,106.06615232619595,
2026-06-07T05:14:13.824043+00:00,149,145.0385327123431,90.59792370594333,
2026-06-07T05:14:13.824043+00:00,150,159.48789486865894,103.32947670091303,
2026-06-07T05:14:13.824043+00:00,151,196.34113010893176,67.55834548665905,
2026-06-07T05:14:13.824043+00:00,152,266.3684026537472,134.43641977777,
2026-06-07T05:14:13.824043+00:00,153,159.88360673529596,172.6533454699137,
2026-06-07T05:14:13.824043+00:00,154,233.29328608307327,20.390712124713566,
2026-06-07T05:14:13.824043+00:00,155,326.6122357225311,146.6322735446793,
