qubit,t1_us,t2_us,readout_error,p_relax,p_dephase,p_readout,predicted_qber_linear,predicted_qber_rf,predicted_qber_nn
18,113.33299562798868,80.2671896335191,0.0252685546875,0.035661742209212866,0.057112350154123824,0.0252685546875,0.0779250717848389,0.0674878212418623,0.1130577747494585
19,140.7611219814406,67.50449292663893,0.003662109375,0.026159934376133606,0.07042219295768484,0.003662109375,0.06387984781446714,0.05531873597817635,0.11394123330437517
20,62.75524068544552,52.23742904540753,0.0118408203125,0.07496263077537711,0.09488702640360261,0.0118408203125,0.09784776440268639,0.09669947679430752,0.13582023594059406
21,164.84356025646895,87.52754938772335,0.0091552734375,0.020424121960029663,0.05127283851562187,0.0091552734375,0.05827604634530544,0.04773705507351042,0.10967317712397506
22,190.74922327733225,17.820282715045995,0.01171875,0.015871001530384787,0.3038068683306217,0.01171875,0.15527454327356038,0.171147976676226,0.17087324864014597
23,97.18189533722172,64.85735189485203,0.0943603515625,0.04376593138785446,0.07383873211173062,0.0943603515625,0.13704693686255542,0.139702149839971,0.1240884952196116
24,80.99073282390142,37.61721710471481,0.0186767578125,0.05513451939112288,0.13692932232931782,0.0186767578125,0.11128620932708708,0.10509289072737489,0.1404687891672401
25,138.44379725169603,22.340917651312505,0.0146484375,0.02681710760491709,0.2396438103906465,0.0146484375,0.1369528895266417,0.14065899951473423,0.15790493309524628
26,7.0108271252041305,6.198807163985904,0.1041259765625,0.7751774254393875,0.8982903216722089,0.1041259765625,0.7408164845015485,0.28495613279674725,0.39835130978757854
27,142.8564500315607,114.20409555558362,0.0079345703125,0.025584072082308472,0.036192733469412874,0.0079345703125,0.05359128733096781,0.043972264588758206,0.10890651580835489
28,124.9420878909982,109.87546316293056,0.0091552734375,0.031130864662422278,0.03814199235149308,0.0091552734375,0.05734196916723497,0.04410266228024243,0.11020171161850412
29,35.02566425664459,39.6111147962999,0.2286376953125,0.1446824167637092,0.129367954659285,0.2286376953125,0.293431868042506,0.192698586100987,0.17744171090328975
30,252.9929866778674,91.17785360251554,0.02197265625,0.00874290171652663,0.04868822184844503,0.02197265625,0.06200691217210156,0.05029947231879879,0.10558112150182655
31,183.38877926108327,61.07673516275592,0.06689453125,0.01703383538021276,0.07923171248563625,0.06689453125,0.10915227650871494,0.11179816559904676,0.11478612902289195
32,247.32537760003297,48.28229046437431,0.024169921875,0.009243479895256222,0.10374824113032362,0.024169921875,0.0849040473373822,0.08152670608670029,0.11621030288805198
33,142.17146318721578,128.47652485549548,0.0123291015625,0.02577046059091849,0.03069613952643576,0.0123291015625,0.05470811539286147,0.04574987176316662,0.10777978242960293
34,158.56747571178448,134.69680302805412,0.0048828125,0.021751063764547753,0.028665045858718492,0.0048828125,0.04704261999471581,0.04133062303343833,0.10742695200329452
35,343.1565726532411,355.57745124629383,0.0208740234375,0.0030033290069665965,0.002605467671301003,0.0208740234375,0.041334789254360266,0.03451368137877971,0.0984570955908034
36,135.1714580544508,86.39965582193882,0.01025390625,0.027783489985058404,0.05211561527676479,0.01025390625,0.062209389933332936,0.05044613738594407,0.11121637125640485
37,144.88274224176163,25.25502527735562,0.0478515625,0.0250430253814279,0.2104589253882867,0.0478515625,0.14890822172034807,0.15409648685290964,0.14988221300889826
38,121.5898726499541,41.87789867092243,0.027587890625,0.03235034533918604,0.12164631764830472,0.027587890625,0.1030838626030462,0.09705407234023411,0.12908150054319767
39,162.75592530864444,98.77219712770696,0.0355224609375,0.020854148196993293,0.04392317281841303,0.0355224609375,0.07454799855065325,0.07228343601747377,0.10612263324667875
40,206.68839183661487,104.73080420891452,0.01806640625,0.01363672981048875,0.040668279118348805,0.01806640625,0.05800151269205804,0.046754298672219724,0.10595545890460756
41,184.47835218327992,43.19769741179462,0.0120849609375,0.01685584877451236,0.11752379126049217,0.0120849609375,0.08443334510513488,0.07658294031681291,0.12179928667571677
42,117.0401506464892,43.27853235914574,0.0069580078125,0.034117203859220756,0.11727946662964658,0.0069580078125,0.0872766359478643,0.08608051141896629,0.12739525452295505
43,268.76334788822066,60.93576398110031,0.01611328125,0.007461125214109899,0.07944574683655811,0.01611328125,0.0691119056128946,0.06405433752341737,0.11014697236906285
44,198.4656531560262,170.28940800008607,0.0057373046875,0.01474453713973602,0.019896732439402195,0.0057373046875,0.041605335557448504,0.03974011551254443,0.10472211727737216
45,88.76511140436627,101.64968463200051,0.0108642578125,0.04915815260279245,0.042303699077399864,0.0108642578125,0.0670766898441722,0.05895118006852912,0.11498264475509867
