p_relax,p_dephase,p_readout,avg_qber
0.07039375802944164,0.27534589675796656,0.021087005656992654,0.17500835208365803
0.035033324980507895,0.2601191464921518,0.012735534896484137,0.1483260010296233
0.15231645643884006,0.013610122881773356,0.051422490960813194,0.12485215464649166
0.2972922959304508,0.2352459773476524,0.07495414821338292,0.27688328848041704
0.06279054203171612,0.051327692109308785,0.0654181486526854,0.10899889787965242
0.2114910020124032,0.19300772631658078,0.027358309643855216,0.19922679485443204
0.037822625256814436,0.0003971394786710158,0.09377432797939748,0.1117693271838831
0.27138919701885006,0.13501305992038712,0.00117462914208335,0.1781307173897882
0.24340453562293865,0.03420115080792778,0.04768438327351229,0.16872395723038972
0.08731064065447654,0.2529964010111302,0.07725964931809282,0.2045054913979027
0.042089070028030424,0.23801310007542748,0.0840396855997102,0.19277785208523515
0.06734719355708844,0.11953158250887613,0.008869293607331819,0.10088520045939295
0.2578441818719185,0.16005015762262315,0.028247534548606512,0.21133209668538555
0.25357442215759757,0.2589748791457661,0.03617578248726938,0.24157320596021498
0.22470334291015726,0.047997845534912674,0.08144867860496444,0.1899306362317191
0.12497003199273854,0.09329444470697032,4.27017291769638e-05,0.10048098255634327
0.2639903124482356,0.23977579611294905,0.04095900555158486,0.23906586247890854
0.196954997991541,0.2815673624074639,0.048400553590027,0.2319387111745012
0.2756808481243716,0.16680748741410806,0.07760657198235095,0.24709395101696047
0.15977136516081264,0.16371003461245942,0.04112923606617547,0.1714383474233309
0.03807396071842617,0.20885922629087147,0.09422768686985798,0.18913766228789308
0.239732832822459,0.1311605288231959,0.022372232548497375,0.1887474187620067
0.12812348579097038,0.18129075413743553,0.07945759606489095,0.21219529727916098
0.04074476063747451,0.24696560315916888,0.04496946450155821,0.17360697398171684
0.13896424837760932,0.105506826557985,0.002082978525901191,0.11468779528012144
0.10524078170979739,0.03643065216143904,0.04025718835540712,0.10817182106951251
0.023758115607997943,0.03904214721344081,0.00950090303560023,0.03741344999007902
0.07325374729834855,0.07438844181115614,0.07639510340297596,0.13358755501403824
0.22283801232925138,0.08504129359405546,0.027900866801680458,0.17267118826959593
0.06472135610367925,0.07145530021777456,0.03787390944370195,0.09779679217674977
0.20328296644346747,0.2956473669125683,0.0053871040148245515,0.21746261467341094
0.2695132647550869,0.03895087955066504,0.04334249911543641,0.17546133166483988
0.15430392920022407,0.28815728496534015,0.05863167427479286,0.2359106267345287
0.12677180414064013,0.03778664569911778,0.04609689788143485,0.12445844616432873
0.036727977450861114,0.03953666277689994,0.05636104425415553,0.0912536008787452
0.17874648206184723,0.24000732804527608,0.08840279494869674,0.25126892368956405
0.2599535696480653,0.2541172287975767,0.05507712854283821,0.25927254317824067
0.057976530883123406,0.06804006020552836,0.026779191104893987,0.08713652993424492
0.1436021640318504,0.23304802523177606,0.014227141218699058,0.17195653178299936
0.036628653363710115,0.06752197213079995,0.00045894899204422805,0.054442381043349676
0.1944706905463507,0.21980337437974348,0.03975542948162824,0.20610542788053668
0.09217797569175237,0.27559322078955556,0.09284976628586356,0.2334000298140868
0.11253725165855097,0.21063175093341796,0.05894505511659316,0.19789526569572435
0.04821495027070267,0.28726195160276913,0.07878392823176206,0.2081044946849046
0.20260978946351263,0.03148020221389176,0.04357023032476422,0.14283336181399714
0.20836399370109965,0.2935699303288382,0.0999584011062294,0.2687093057071393
0.26483456049598897,0.00029330536222665904,0.01839713657134756,0.14548350599092913
0.24191586541820015,0.19715551986275928,0.09435966954548711,0.25149360284276817
0.17252388692436157,0.07263125672105801,0.028265493351656415,0.13234154414820043
0.03564450971212461,0.2808986476934834,0.09038396993948883,0.21354117474917347
0.2417612829478698,0.165646439755011,0.014661962666216855,0.19013263883179635
0.21979433504275678,0.21330496879431446,0.013997567515640208,0.20017957069935952
0.2511362395714783,0.1460651709672101,0.026251414857267376,0.20631077074121568
0.023121470042631008,0.12240257800111581,0.08323129401237993,0.13323569378828942
0.11861839276161427,0.01207606194037024,0.09129542072849028,0.14578532440661082
0.09880165688127512,0.08335986611229482,0.08883551780194182,0.16606246160996668
0.24606821318404484,0.17022055878330006,0.044691939527352044,0.21150612231013227
0.25857251676319964,0.23590960163603164,0.06164912228326887,0.24921514958556226
0.21753570329750563,0.021606135978925578,0.04195471891943913,0.1447461252861836
0.047220162137374885,0.16463109042175358,0.008410521334670807,0.11494222863264267
0.14666361651335116,0.1613389442741106,0.005196742257268506,0.14758047746084438
0.009658755802815389,0.042638600681536895,0.05155114284208953,0.07550530094998133
0.13777062254384764,0.2800949164553277,0.05287386506251688,0.22967955175443713
0.0409173682669489,0.20292081754556127,0.056093573974936,0.16452468024275674
0.26614530392573654,0.13181536977418026,0.03616817478821447,0.2125797290943734
0.042903439350235384,0.08194413403573421,0.04643265594719048,0.09791311827436897
0.02512528409341026,0.05746769323798396,0.021235359619428795,0.058914883930002396
0.1550767594071131,0.10999352313678562,0.046533113508533064,0.1607090915222671
0.022756262923671364,0.26639644427947934,0.09564631996781175,0.2056398379797164
0.2875185134698636,0.22748247835165636,0.09012593650152512,0.2804876040171643
0.04907705889098383,0.0692068443988703,0.07883148120753017,0.12845727049711475
0.04630344521889563,0.08479242873249121,0.006601800367338484,0.07116779026678659
0.08774671525580618,0.26873649861321475,0.047626923596489616,0.1977832881889866
0.036451253102666746,0.18291467846689746,0.07804527608117555,0.17704514459478154
0.09419272173130142,0.24850714056653958,0.0017522799368225096,0.159940544995832
0.04160067792000944,0.06859117099370021,0.05081722438929251,0.10105537773591604
0.24929838442905952,0.12307305761105278,0.001559424337489468,0.16473889825306415
0.037519443938468344,0.2998836052302004,0.030286604045401136,0.17884610066860898
0.29126361286860464,0.0689591627171649,0.027089427837269378,0.18923988606231748
0.056193516645929295,0.002728108089630965,0.025985433933469707,0.05073415455190637
